Title;Authors;DOI;Removed (Title);Removed (Abstract)
A methodology to estimate resilience of manufacturing plants;Antonio C. Caputo and Pacifico M. Pelagagge and Paolo Salini;10.1016/j.ifacol.2019.11.229;1;1
A methodology to model the functional structure of an organization;Ralph R. Bravoco and Surya B. Yadav;10.1016/0166-3615(85)90002-8;1;1
A methodology to model the information structure of an organization;Ralph R. Bravoco and Surya B. Yadav;10.1016/0164-1212(85)90007-X;1;1
A modular framework for estimating carbon emissions from building component replacements in LCA;Zuoming Chen and Stephen Siu {Yu Lau;10.1016/j.enbuild.2025.116424;1;1
A multicriterion view of optimal resource allocation in job-shop production;Marc Gravel and Jean Marc Martel and Raymond Nadeau and Wilson Price and Richard Tremblay;10.1016/0377-2217(92)90284-G;1;1
A multimodal deep learning framework for integrating visual, textual and categorical features in retail price estimation;Kazi Redwan and Sourav Datto and Mustakim Ahmed and Habibur Rahman Masum and Md. Faruk Abdullah Al Sohan and Abu Shufian;10.1016/j.array.2025.100565;1;1
A multiple-objective decision model for the evaluation of advanced manufacturing system technologies;Johann G Demmel and Ronald G Askin;10.1016/0278-6125(92)90004-Y;1;1
A negotiation protocol to improve planning coordination in transport-driven supply chains;Zhen-Zhen Jia and Jean-Christophe Deschamps and Rémy Dupas;10.1016/j.jmsy.2015.10.003;1;1
A neural network for error prediction in a true triaxial apparatus with flexible boundaries;L. Dihoru and D. Muir Wood and T. Sadek and M. Lings;10.1016/j.compgeo.2005.01.003;1;1
A neural topic model with word vectors and entity vectors for short texts;Xiaowei Zhao and Deqing Wang and Zhengyang Zhao and Wei Liu and Chenwei Lu and Fuzhen Zhuang;10.1016/j.ipm.2020.102455;1;1
A NEW APPROACH TO COMPUTER AIDED ENGINEERING;J. Voeller;10.1016/B978-0-408-00824-2.50025-1;1;1
A next generation probabilistic approach to analyze cancer patients data with inference and applications;Yusra A. Tashkandy and Bakr M. E and Meraou M. A and Anoop Kumar and Yusuf M and M.M.Abd El-Raouf;10.1016/j.aej.2024.11.079;1;1
A novel ensemble fuzzy classification model in SARS-CoV-2 B-cell epitope identification for development of protein-based vaccine;Zeynep Banu Ozger and Pınar Cihan;10.1016/j.asoc.2021.108280;1;1
A novel reasoning mechanism for multi-label text classification;Ran Wang and Robert Ridley and Xi’ao Su and Weiguang Qu and Xinyu Dai;10.1016/j.ipm.2020.102441;1;1
A novel sub-Kmeans based on co-training approach by transforming single-view into multi-view;Fengtao Nan and Yahui Tang and Po Yang and Zhenli He and Yun Yang;10.1016/j.future.2021.07.019;1;1
A novel whole-life carbon assessment of thirty buildings in California;Yang Shen and Brad Benke and Matt Roberts and Stephanie Carlisle and Mel Chafart and Kate Simonen;10.1016/j.jobe.2025.113074;1;1
A personalized classification model using similarity learning via supervised autoencoder;Hyunjae Jo and Chi-Hyuck Jun;10.1016/j.asoc.2022.109773;1;1
A portable, low-cost real-time imaging slab gel electrophoresis system for rapid separation of nucleic acids;Kan Luo and Yu Chen and Min Fan and Jianxing Li and Wu Wang;10.1016/j.snb.2025.137905;1;1
A process for designing innovative mechatronic products;Rogerio Atem {de Carvalho;10.1016/j.ijpe.2020.107887;1;1
A product information modeling framework for product lifecycle management;R. Sudarsan and S.J. Fenves and R.D. Sriram and F. Wang;10.1016/j.cad.2005.02.010;1;1
A proposed framework and a survey of research issues in manufacturing information systems;Saeid Motavalli and Mohammad Da-zadeh and Mohammad Taghavi-Fard;10.1016/0360-8352(94)00206-3;1;1
A proposed hierarchical control model for automated manufacturing systems;Albert T. Jones and Charles R. McLean;10.1016/0278-6125(86)90064-6;1;1
A recursive object algebra based on aggregation abstraction for manipulating complex objects;Ling Liu;10.1016/0169-023X(93)90044-P;1;1
A reference data model for production control in the electronics industry;I.P. Tatsiopoulos and I. Avramopoulos and I. Theoharis;10.1016/S0166-3615(97)00057-2;1;1
A reinforcement learning method for human-robot collaboration in assembly tasks;Rong Zhang and Qibing Lv and Jie Li and Jinsong Bao and Tianyuan Liu and Shimin Liu;10.1016/j.rcim.2021.102227;1;1
A relational view of activities for systems analysis and design;Ari P.J. Vepsalainen;10.1016/0167-9236(88)90130-3;1;1
A resilient-green model for multi-echelon meat supply chain planning;Seyed Mohammad Gholami-Zanjani and Mohammad Saeed Jabalameli and Mir Saman Pishvaee;10.1016/j.cie.2020.107018;1;1
A resource-constrained assembly job shop scheduling problem with Lot Streaming technique;T.C. Wong and Felix T.S. Chan and L.Y. Chan;10.1016/j.cie.2009.04.002;1;1
A response to dynamic change in the market place;Bill Fulkerson;10.1016/S0167-9236(97)00029-8;1;1
A review of adaptive thermal comfort research since 1998;R. {de Dear;10.1016/j.enbuild.2020.109893;1;1
A review of Internet of Things (IoT) embedded sustainable supply chain for industry 4.0 requirements;E. Manavalan and K. Jayakrishna;10.1016/j.cie.2018.11.030;1;1
A review of mathematical inventory models for reverse logistics and the future of its modeling: An environmental perspective;Ehab Bazan and Mohamad Y. Jaber and Simone Zanoni;10.1016/j.apm.2015.11.027;1;1
A review of mixed-integer linear formulations for framework-based energy system models;Maximilian Hoffmann and Bruno U. Schyska and Julian Bartels and Tristan Pelser and Johannes Behrens and Manuel Wetzel and Hans Christian Gils and Chuen-Fung Tang and Marius Tillmanns and Jan Stock and André Xhonneux and Leander Kotzur and Aaron Praktiknjo and Thomas Vogt and Patrick Jochem and Jochen Linßen and Jann M. Weinand and Detlef Stolten;10.1016/j.adapen.2024.100190;1;1
A review of research into engineering change management: implications for product design;I.C. Wright;10.1016/S0142-694X(96)00029-4;1;1
A review on new technologies in 3GPP standards for 5G access and beyond;Nhu-Ngoc Dao and Ngo Hoang Tu and Trong-Dai Hoang and Tri-Hai Nguyen and Luong Vuong Nguyen and Kyungchun Lee and Laihyuk Park and Woongsoo Na and Sungrae Cho;10.1016/j.comnet.2024.110370;1;1
A road map for developing novel decision support system (DSS) for disseminating integrated pest management (IPM) technologies;Franck B.N. Tonle and Saliou Niassy and Milliam M.Z. Ndadji and Maurice T. Tchendji and Armand Nzeukou and Bester T. Mudereri and Kennedy Senagi and Henri E.Z. Tonnang;10.1016/j.compag.2023.108526;1;1
A Role for Network Science in Social Norms Intervention;Clayton A. Davis and Julia R. Heiman and Filippo Menczer;10.1016/j.procs.2015.05.499;1;1
A rollout heuristic-reinforcement learning hybrid algorithm for disassembly sequence planning with uncertain depreciation condition and diversified recovering strategies;Yaping Ren and Zhehao Xu and Yanzi Zhang and Jiayi Liu and Leilei Meng and Wenwen Lin;10.1016/j.aei.2024.103082;1;1
A Rule-Based Approach for Product Assembly Complexity Review in the Context of Virtual Engineering;Azunka Nwawuba Ukala and F.T. Sunmola;10.1016/j.promfg.2020.10.078;1;1
A semantic framework for enhancing pseudo-relevance feedback with soft negative sampling and contrastive learning;Min Pan and Shuting Zhou and Jinguang Chen and Ellen Anne Huang and Jimmy X. Huang;10.1016/j.ipm.2024.104058;1;1
A semi-infinite programming model for earliness/tardiness production planning with a genetic algorithm;Dingwei Wang and S.-C. Fang;10.1016/0898-1221(96)00034-X;1;1
A short note on an intelligent system for selection of materials for progressive die components;S. Kumar and R. Singh;10.1016/j.jmatprotec.2006.09.004;1;1
A simulation-optimization approach to parameterize Demand-Driven Material Requirements Planning;David Damand and Youssef Lahrichi and Marc Barth;10.1016/j.ifacol.2022.09.626;1;1
A Smart Manufacturing Conceptual Framework for Digitalising Data Collection of the Quality Management System for Regulatory Compliance in the Medical Device Industry;Puneeth S Kannaraya and Manish Arora and Amaresh Chakrabarti;10.1016/j.procs.2025.01.218;1;1
A state-of-the-art review of automated extraction of rock mass discontinuity characteristics using three-dimensional surface models;Rushikesh Battulwar and Masoud Zare-Naghadehi and Ebrahim Emami and Javad Sattarvand;10.1016/j.jrmge.2021.01.008;1;1
A stealth monitoring mechanism for cyber-physical systems;Vitor Graveto and Luís Rosa and Tiago Cruz and Paulo Simões;10.1016/j.ijcip.2018.10.006;1;1
A stochastic model for developing speculation-postponement strategies and modularization concepts in the global supply chain with demand uncertainty;Syarif Daniel Budiman and Hsin Rau;10.1016/j.cie.2021.107392;1;1
A structured digital twinning approach to improve decision-making in manufacturing SMEs;Maaike Slot and Roy Damgrave and Eric Lutters;10.1016/j.cirpj.2024.10.010;1;1
A Study of Different Texture Features Based on Local Operator for Benign-malignant Mass Classification;Rinku Rabidas and Abhishek Midya and Jayasree Chakraborty and Wasim Arif;10.1016/j.procs.2016.07.225;1;1
A study of update request comments in Stack Overflow answer posts;Mohammad Sadegh Sheikhaei and Yuan Tian and Shaowei Wang;10.1016/j.jss.2022.111590;1;1
A supervised learning-based optimization for container pre-loading problem;Woo-sung Kim and Mihyeong Song and Mincheol Jeong and Seung Hwan Jung;10.1016/j.ijpe.2025.109648;1;1
A survey of challenges in modelling and decision-making for discrete event logistics systems;Lars Mönch and Peter Lendermann and Leon F. McGinnis and Arnd Schirrmann;10.1016/j.compind.2011.05.001;1;1
A survey of Open-Source UAV flight controllers and flight simulators;Emad Ebeid and Martin Skriver and Kristian Husum Terkildsen and Kjeld Jensen and Ulrik Pagh Schultz;10.1016/j.micpro.2018.05.002;1;1
A survey on automatic infographics and visualization recommendations;Sujia Zhu and Guodao Sun and Qi Jiang and Meng Zha and Ronghua Liang;10.1016/j.visinf.2020.07.002;1;1
A synthesis algorithm for an oil spill problem of complementary locations on networks;Avishai Ceder and George Tharakan and Harilaos N. Psaraftis;10.1016/S0307-904X(00)00046-9;1;1
A systematic literature review about dimensioning safety stock under uncertainties and risks in the procurement process;Júlio Barros and Paulo Cortez and M. Sameiro Carvalho;10.1016/j.orp.2021.100192;1;1
A systematic review of continuous glucose monitoring sensors: principles, core technologies and performance evaluation;Xinying Wu and Xingyu Zhao and Weiliang Chen and Qinghua Chen and Linghai Kong and Peiyao Li;10.1016/j.snr.2025.100361;1;1
A systemic approach to define and characterize Advanced Planning Systems (APS);Melina C. Vidoni and Aldo R. Vecchietti;10.1016/j.cie.2015.10.006;1;1
A tailored Maintenance Management System to control spare parts life cycle;R. Accorsi and A. Gallo and A. Tufano and M. Bortolini and S. Penazzi and R. Manzini;10.1016/j.promfg.2020.01.013;1;1
A techno-economic analysis of cost savings for retrofitting industrial aerial coolers with variable frequency drives;Patrick Miller and Babatunde Olateju and Amit Kumar;10.1016/j.enconman.2011.09.018;1;1
A Tutorial on Data-Base Organization;ROBERT W. ENGLES;10.1016/B978-0-08-017806-6.50003-1;1;1
A unified approach for modelling construction information;Bo-Christer Björk;10.1016/0360-1323(92)90021-G;1;1
A web-based system for design artifact modeling;Simon Szykman and Janusz Racz and Christophe Bochenek and Ram D. Sriram;10.1016/S0142-694X(99)00044-7;1;1
A Weighted Multi-Layer Analytics Based Model for Emoji Recommendation;Amira M. Idrees and Abdul Lateef Marzouq Al-Solami;10.32604/cmc.2023.046457;1;1
Abbreviations;;10.1016/B978-0-12-814435-0.00033-X;1;1
Abstractions: A conceptual approach for structuring interaction with integrated CAD systems;Charles M. Eastman;10.1016/0097-8493(85)90017-2;1;1
Accelerating health system innovation: principles and practices from the Duke Institute for Health Innovation;Sahil Sandhu and Mark P. Sendak and William Ratliff and William Knechtle and William J. Fulkerson and Suresh Balu;10.1016/j.patter.2023.100710;1;1
Accommodating a turnkey CAD/CAM system to organizational needs;Mikko Tervonen and Hannu Lehikoinen and Timo Mukari;10.1016/0010-4485(84)90201-X;1;1
Accurate and interpretable classification of microspectroscopy pixels using artificial neural networks;Petru Manescu and Young {Jong Lee;10.1016/j.media.2017.01.001;1;1
Accurate detection of sitting posture activities in a secure IoT based assisted living environment;Muhammad Tariq and Hammad Majeed and Mirza Omer Beg and Farrukh Aslam Khan and Abdelouahid Derhab;10.1016/j.future.2018.02.013;1;1
Acoustic emission for surface quality monitoring in laser shock peening via dual-feature fusion convolution neural network;Rui Qin and Zhifen Zhang and Jing Huang and Zhengyao Du and Xianwen Xiang and Guangrui Wen and Weifeng He;10.1016/j.optlastec.2023.109505;1;1
ACRONYMS AND ABBREVIATIONS;;10.1016/B978-0-12-361775-0.50006-6;1;1
Active learning for Arabic sentiment analysis;Abdelrahman Kaseb and Mona Farouk;10.1016/j.aej.2023.06.082;1;1
Adapting language models for mental health analysis on social media;Mario Ezra Aragón and Adrián Pastor López-Monroy and Manuel Montes-y-Gómez and David E. Losada;10.1016/j.artmed.2025.103217;1;1
Adaptive neuro fuzzy inference system for chart pattern matching in financial time series;Yuqing Wan and Yain-Whar Si;10.1016/j.asoc.2017.03.023;1;1
Advanced analytics for evaluating critical joining technologies in automotive body structures and body shops;Eduard Wagner and Bernd Keller and Peter Reimann and Christoph Gröger and Dieter Spath;10.1016/j.procir.2022.09.034;1;1
Advanced Planning and Scheduling Systems based on Time Windows and Constraint Programming;Marcosiris A.O. Pessoa and Richard A. Estombelo Montesco and Fabricio Junqueira and Diolino Jose dos Santos Filho and Paulo E. Miyagi;10.3182/20130522-3-BR-4036.00069;1;1
Advancing life cycle assessment through data science: A critical review of algorithms, tools, and data challenges;Sofia Bahmutsky and Ian Turner and Vivek Arulnathan and Nathan Pelletier;10.1016/j.spc.2025.10.007;1;1
Advancing parametric life cycle assessment (pa-LCA): A systematic review and methodological roadmap for enhanced sustainability assessments;Ana Arias and Maria Teresa Moreira and Reinout Heijungs and Stefano Cucurachi;10.1016/j.spc.2025.10.016;1;1
Advantages of scaled and unscaled physical models for FMS research and instruction;R.A. Wysk and P.H. Cohen and B.K. Ghosh and S.Y. Wu;10.1016/0278-6125(87)90034-3;1;1
Agent Collaboration in a Multi-Agent-System for Analysis and Optimization of Mechanical Engineering Parts;Paul Christoph Gembarski;10.1016/j.procs.2020.08.061;1;1
Agent-based manufacturing execution systems for short-series production scheduling;Rafal Cupek and Adam Ziebinski and Lukasz Huczala and Huseyin Erdogan;10.1016/j.compind.2016.07.009;1;1
Agile and iterative governance: China’s regulatory response to AI;Baiyang Xiao;10.1016/j.clsr.2025.106183;1;1
AI-driven approach for creating and evaluating a synthetic dataset for Medication Errors;Hanae Touati and Rafika Thabet and Franck Fontanili and Marie-Hélène Cleostrate and Marc Pruski and Marie-Noëlle Cufi and Elyes Lamine;10.1016/j.jbi.2025.104889;1;1
Airline flight frequency determination in response to competitive interactions using fuzzy logic;Chaug-Ing Hsu and Yuh-Horng Wen;10.1016/j.mcm.2005.05.016;1;1
Aliens in Europe. An open approach to involve more people in invasive species detection;Sven Schade and Alexander Kotsev and Ana Cristina Cardoso and Konstantinos Tsiamis and Eugenio Gervasini and Fabiano Spinelli and Irena Mitton and Roberto Sgnaolin;10.1016/j.compenvurbsys.2019.101384;1;1
Allocating distributed AI/ML applications to cloud–edge continuum based on privacy, regulatory, and ethical constraints;Pyry Kotilainen and Niko Mäkitalo and Kari Systä and Ali Mehraj and Muhammad Waseem and Tommi Mikkonen and Juan Manuel Murillo;10.1016/j.jss.2025.112333;1;1
An active vision architecture based on iconic representations;Rajesh P.N. Rao and Dana H. Ballard;10.1016/0004-3702(95)00026-7;1;1
An affordable platform for automated synthesis and electrochemical characterization;Sergio Pablo-García and Ángel García and Gun Deniz Akkoc and Malcolm Sim and Yang Cao and Maxine Somers and Chance Hattrick and Naruki Yoshikawa and Dominik Dworschak and Han Hao and Alán Aspuru-Guzik;10.1016/j.device.2024.100567;1;1
An analysis of ill-formed input in natural language queries to document retrieval systems;Charlene W. Young and Caroline M. Eastman and Robert L. Oakman;10.1016/0306-4573(91)90002-4;1;1
An analysis of ontologies and their success factors for application to business;Christina Feilmayr and Wolfram Wöß;10.1016/j.datak.2015.11.003;1;1
An analysis of port congestion alleviation strategy based on system dynamics;Haonan Lin and Weijun Zeng and Jian Luo and Guofang Nan;10.1016/j.ocecoaman.2022.106336;1;1
An analysis of the available virtual engineering tools for building manufacturing systems digital twin;Sergey Konstantinov and Jesper de Oliveira Hansen and Fadi Assad and Bilal Ahmad and Danial A. Vera and Robert Harrison;10.1016/j.procir.2023.02.096;1;1
An application model for computer assisted design and manufacturing using a product evaluation and selection system;Sarah F. Rushinek and Avi Rushinek;10.1016/0360-8352(87)90011-8;1;1
An approach for designing capacity and managing material flow in small-lot assembly lines;W.E. Wilhelm and S. Saboo and R.A. Johnson;10.1016/0278-6125(86)90042-7;1;1
An approach for the development of visual configuration systems;Lars Hvam and Klaes Ladeby;10.1016/j.cie.2007.05.004;1;1
An approach to identify the factors that affect a products life time energy consumption during the concept design stage;S M Ibbotson and S Kara;10.1016/j.procir.2018.02.033;1;1
An approach to support the construction of adaptive Web applications;Leandro Guarino Vasconcelos and Laercio Augusto Baldochi and Rafael Duarte Coelho Santos;10.1108/IJWIS-12-2018-0089;1;1
An architecture for Agile Shop Floor control systems;Gilad Langer and Leo Alting;10.1016/S0278-6125(01)80006-6;1;1
An assessment of desalination technology for the Rosarito Repowering Project;Ismat Kamal;10.1016/0011-9164(95)00063-8;1;1
An Attention-Based Multi-Modal Framework for Intelligent Elderly Care Using Activity and Acoustic Data;Raoudha Nouisser and Salma Kammoun Jarraya and Mohamed Hammami;10.1016/j.procs.2025.09.450;1;1
An automated closed-loop framework to enforce security policies from anomaly detection;João Henriques and Filipe Caldeira and Tiago Cruz and Paulo Simões;10.1016/j.cose.2022.102949;1;1
An automated electrical defect identification and location method for CMOS processes using a specially designed test chip: Alain R. Comeau. IEEE Transactions on Semiconductor Manufacturing5(3), 207 (1992);;10.1016/0026-2714(93)90155-R;1;1
An automated framework based on RC model and GA optimization for calibrating coupled residential buildings and HVAC systems;Kevwe Andrew Ejenakevwe and Luyao Xie and Junke Wang and Rodney Hurt and Li Song;10.1016/j.buildenv.2025.113368;1;1
An autonomous surface vehicle for acoustic tracking, bathymetric and photogrammetric surveys;Pierre Gogendeau and Sylvain Bonhommeau and Hassen Fourati and Mohan Julien and Matteo Contini and Thomas Chevrier and Anne Elise Nieblas and Serge Bernard;10.1016/j.oceaneng.2025.121201;1;1
An empirical study of developers’ challenges in implementing Workflows as Code: A case study on Apache Airflow;Jerin Yasmin and Jiale Amber Wang and Yuan Tian and Bram Adams;10.1016/j.jss.2024.112248;1;1
An end-to-end tabular information-oriented causality event evolutionary knowledge graph for manufacturing documents;Bin Zhou and Bao Hua and Xinghai Gu and Yuqian Lu and Tao Peng and Yu Zheng and Xingwang Shen and Jinsong Bao;10.1016/j.aei.2021.101441;1;1
AN EXACT METHOD TO ASSEMBLY END PRODUCTS FROM A STOCK OF SEMI-FINISHED PRODUCTS;A. Yahiaoui and O. Briant and Y. Frein;10.3182/20070927-4-RO-3905.00061;1;1
An Industry 4.0 Testbed (Self-Acting Barman): Principles and Design;Václav Kaczmarczyk and Ondřej Baštán and Zdeněk Bradáč and Jakub Arm;10.1016/j.ifacol.2018.07.164;1;1
An Inference-based Knowledge Reuse Framework for Historical Product and Production Information Retrieval;Dimitris Mourtzis and Michael Doukas and Christos Giannoulis;10.1016/j.procir.2015.12.026;1;1
An Insight of Adaptive Notification Management and User Experience Intelligent Systems for the Blind;Madalin Matei;10.1016/j.procs.2023.10.330;1;1
An intelligent agent for ERP's data structure analysis based on ANSI/ISA-95 standard;Melina C. Vidoni and Aldo R. Vecchietti;10.1016/j.compind.2015.07.011;1;1
An intelligent order entry and dynamic bill of materials system for manufacturing customized furniture;Marco Ariano and Aldo Dagnino;10.1016/0045-7906(95)00027-5;1;1
An Intelligent RFID-based Electronic Anti-Counterfeit System (InRECS) for the Manufacturing Industry;S.K. Kwok and Albert H.C. Tsang and Jacky S.L. Ting and W.B. Lee and Benny C.F. Cheung;10.3182/20080706-5-KR-1001.00924;1;1
An LLM-based knowledge and function-augmented approach for optimal design of remanufacturing process;Haiyang Zhang and Wei Yan and Huicong Hu and Xumei Zhang and Qingtao Liu and Hong Xia and Yingguang Zhang and Yuhao Lin;10.1016/j.aei.2025.103206;1;1
An ontology-based framework for the management of machining information in a data mining perspective;Emeric Ostermeyer and Christophe Danjou and Alexandre Durupt and Julien Le Duigou;10.1016/j.ifacol.2018.08.300;1;1
An Open Data Repository for Engineering Design: Using Text Mining with Open Government Data;Vito Giordano and Elena Coli and Antonella Martini;10.1016/j.compind.2022.103738;1;1
An open-source peristaltic pump with multiple independent channels for laboratory automation;Michael Buchhorn and Gun Deniz Akkoc and Dominik Dworschak;10.1039/d5dd00157a;1;1
An optimal algorithm for the robotic assembly system design problem: An industrial case study;Simon Hagemann and Rainer Stark;10.1016/j.cirpj.2020.08.002;1;1
An overview of factors influencing the properties of concrete incorporating construction and demolition wastes;Mohammed Ibrahim and Wasiu Alimi and Rida Assaggaf and Babatunde Abiodun Salami and Ewebajo Adeoluwa Oladapo;10.1016/j.conbuildmat.2023.130307;1;1
Anadigics' consumer volume savvy;Jo Ann McDonald;10.1016/0961-1290(95)80203-7;1;1
Analysis and prediction of the performance and reliability of PV modules installed in harsh climates: Case study Iraq;Mohammed Adnan Hameed and Ismail Kaaya and Mudhafar Al-Jbori and Qais Matti and Roland Scheer and Ralph Gottschalg;10.1016/j.renene.2024.120577;1;1
Analysis of the usage and diversity of grey literature in addiction research: a study;Rishabh Shrivastava and Preeti Mahajan;10.1108/CC-12-2019-0046;1;1
Analytic model to predict productivity in divisional Seru production environment;Marco Bortolini;10.1016/j.cie.2023.109058;1;1
Analyzing Decision-making in Automotive Design towards Life Cycle Engineering for Hybrid Lightweight Components;Alexander Kaluza and Sebastian Kleemann and Florian Broch and Christoph Herrmann and Thomas Vietor;10.1016/j.procir.2016.05.029;1;1
Analyzing the impact of design factors on solar module thermomechanical durability using interpretable machine learning techniques;Xin Chen and Todd Karin and Anubhav Jain;10.1016/j.apenergy.2024.124462;1;1
Anomaly recognition method for cigarette manufacturing process based on graph structure learning;Linsheng Chen and Bo Zhang and Qingsong Fan and Chen Xia and Hu Fan and Yucan Qiu and Zhonghua Yu;10.1016/j.compag.2025.110566;1;1
Antibodies functionalized magnetic Fe-metal-organic framework based biosensor for electrochemical detection of tetanus neurotoxin;Sarita Devi and Soraya Riedel and Sarah Döring and Lukas Hiller and Archana Kaliyaraj Selva Kumar and Sabine Flemig and Chandan Singh and Zoltán Konthur and Vasile-Dan Hodoroaba and Rudolf J. Schneider;10.1016/j.snb.2025.137381;1;1
Appendix 28 - Institutional Publications;;10.1016/B978-075067555-0.50151-1;1;1
Appendix D - Directory of State Regulatory Agencies: Environment and Pesticide Management;;10.1016/B978-0-8155-1516-6.50037-9;1;1
Application of data-driven models in the analysis of marine power systems;Anna Swider and Helge Langseth and Eilif Pedersen;10.1016/j.apor.2019.101934;1;1
Application of the multi-agent approach in production planning and modelling;Jiřı́ Lažanský and Olga Štěpánková and Vladimı́r Mařı́k and Michal Pěchouček;10.1016/S0952-1976(01)00006-9;1;1
Approach for a simulation-based and event-driven production planning and control in decentralized manufacturing execution systems;Christian Block and Dominik Lins and Bernd Kuhlenkötter;10.1016/j.procir.2018.03.204;1;1
Archerfish: a retrofitted 3D printer for high-throughput combinatorial experimentation via continuous printing††Electronic supplementary information (ESI) available. See DOI: https://doi.org/10.1039/d4dd00249k;Alexander E. Siemenn and Basita Das and Eunice Aissi and Fang Sheng and Lleyton Elliott and Blake Hudspeth and Marilyn Meyers and James Serdy and Tonio Buonassisi;10.1039/d4dd00249k;1;1
Architectural CAD: a ten year assessment of the state of the art;C.M. Eastman;10.1016/0010-4485(89)90034-1;1;1
Architectural Design of a Blockchain-Enabled, Federated Learning Platform for Algorithmic Fairness in Predictive Health Care: Design Science Study;Xueping Liang and Juan Zhao and Yan Chen and Eranga Bandara and Sachin Shetty;10.2196/46547;1;1
Architecture Concept for the Integration of Cyber-Physical Transport Modules in modular production environments;Alexander David and Max Birtel and Achim Wagner and Martin Ruskowski;10.1016/j.promfg.2020.10.156;1;1
ARGUS: Interactive visual analysis of disruptions in smartphone-detected Bio-Behavioral Rhythms;Hamid Mansoor and Walter Gerych and Abdulaziz Alajaji and Luke Buquicchio and Kavin Chandrasekaran and Emmanuel Agu and Elke Rundensteiner;10.1016/j.visinf.2021.07.001;1;1
ARIS Toolset: A software product is born;August-Wilhelm Scheer;10.1016/0306-4379(94)90031-0;1;1
Articulating machine and deep learning models for next-generation software development;Gayathri Nagasubramanian and Jaswanth Revuri and Rakesh Kumar Sakthivel;10.1016/bs.adcom.2025.07.002;1;1
Artificial Colloquist: Treating Social Anxiety Disorder Using Altera FPGA;Senad Zaimović and Harun Šiljak and Dejan Jokić;10.1016/j.ifacol.2018.07.176;1;1
Artificial intelligence methods in gestational diabetes mellitus prediction: A systematic literature review;Valentina Ivanovic and Md Abu Jafar Sujan and Ole Jakob Mengshoel and Trine Moholdt;10.1016/j.ijmedinf.2025.106158;1;1
Artificial intelligence transformations in geotechnics: progress, challenges and future enablers;Brian Sheil and Christos Anagnostopoulos and Róisín Buckley and Matteo Oryem Ciantia and Eky Febrianto and Jinlong Fu and Zhiwei Gao and Xueyu Geng and Bin Gong and Kevin Hanley and Pengpeng He and Kostas Kolomvatsos and Bruna {de C.F.L. Lopes;10.1016/j.compgeo.2025.107604;1;1
Artificial intelligence- and blockchain-enabled carbon emissions ledger system (AB-CELS) for sustainable construction processes;Istiqlal Aurangzeb and Jong Han Yoon;10.1016/j.autcon.2025.106286;1;1
AS-IS representation and strategic framework for the design and implementation of a disassembly system;Thibault Hervouet and Sotirios Panagou and Fabio Sgarbossa;10.1016/j.cie.2025.110975;1;1
Asia–Pacific developments;Gabriela Kennedy;10.1016/j.clsr.2025.106218;1;1
Assessing economic uncertainty in dynamic reverse logistics networks – A stochastic modeling approach for planning circular battery treatment;Sonja Rosenberg and Sandra Huster and Andreas Rudi and Frank Schultmann;10.1016/j.cie.2025.110900;1;1
Assessing the influence of risk factors in Autism Spectrum Disorders (ASD) using Artificial Intelligence Techniques;Amira Rachah and Senda Slama;10.1016/j.procs.2025.09.637;1;1
Assessment of automated stratigraphic interpretations of boreholes with geology-informed metrics;Sebastián Garzón and Willem Dabekaussen and Freek S. Busschers and Eva {De Boever;10.1016/j.cageo.2025.106043;1;1
Assessment of recyclability with Philips’ tool and ease of (robotic) disassembly of a Siemens Soft Starter;Núria Boix Rodríguez and Lucas Janisch and Mark-Olof Dirksen and Terrin Pulikottil and Mohammad Abdelbaky and Caroline Cassignol and Jef R. Peeters;10.1016/j.procir.2024.12.008;1;1
Assisting the design of a groupware system;Maurice H. {ter Beek;10.1016/j.jlap.2008.11.004;1;1
ASSYBOT: A Chatbot for Selecting Augmenting Assembly Technologies;Jannick Fiedler and Nils Löwhagen and Torbjørn Netland;10.1016/j.ifacol.2025.09.309;1;1
Augmenting RPA with GenAI for Semi-Autonomous Human-in-the-Loop Systems;Pullaiah Babu Alla;10.1016/j.dte.2025.100071;1;1
Authentication of rotogravure print-outs using a regular test pattern;Iuliia Tkachenko and Alain Trémeau and Thierry Fournel;10.1016/j.jisa.2022.103133;1;1
Auto ID systems and intelligent manufacturing control;Duncan McFarlane and Sanjay Sarma and Jin Lung Chirn and C.Y Wong and Kevin Ashton;10.1016/S0952-1976(03)00077-0;1;1
Autofact 4;;10.1016/0166-3615(83)90025-8;1;1
Automated asparagus harvesting technology: A review of research and developments since the 1950s in the United States and beyond;Yuzhen Lu and Parvin Mohammadi;10.1016/j.compag.2025.110744;1;1
Automated configuration for cost-effective digital solutions;Zhengyang Ling and Duncan McFarlane and Sam Brooks and Lavindra {de Silva;10.1016/j.compind.2025.104397;1;1
